Filename, N_kps1, N_kps2, Total_kps2, N_matches, average_match_rate, n_forward, n_backward, n_not_first_match_forward, n_not_first_match_backward, old_average_match_rate,difference,dif2,, average_match_rate_reduced_CC,,,
losangeles012-2010.png,1949,3447,5396,495,0.183469236,537,559,0,0,0.19125278,-0.040697675,0.001656301,,0.183839881,-0.000370645,1.37378E-07,
losangeles013-2010.png,2156,4206,6362,591,0.185790632,641,653,0,0,0.19050613,-0.024752474,0.000612685,,0.185790632,0,0,
losangeles014-2010.png,3267,4918,8185,893,0.218204032,961,977,0,0,0.226023213,-0.034594594,0.001196786,,0.218448381,-0.000244349,5.97066E-08,
losangeles015-2010.png,1268,3012,4280,386,0.180373832,414,441,0,0,0.188317757,-0.042183623,0.001779458,,0.180373832,0,0,
losangeles016-2010.png,2223,4318,6541,630,0.192631096,660,684,0,0,0.198746369,-0.03076923,0.000946746,,0.192631096,0,0,
losangeles017-2010.png,3041,4339,7380,220,0.059620596,256,281,0,0,0.063685637,-0.063829789,0.004074242,,0.059620596,0,0,
losangeles018-2010.png,3006,3988,6994,658,0.188161281,735,727,0,0,0.196454104,-0.042212521,0.001781897,,0.1887332,-0.000571919,3.27091E-07,
losangeles019-2010.png,1602,3494,5096,433,0.169937206,470,500,0,0,0.176609105,-0.037777777,0.00142716,,0.17032967,-0.000392465,1.54029E-07,
losangeles020-2010.png,2064,3761,5825,563,0.193304721,602,650,0,0,0.205321888,-0.058528426,0.003425577,,0.193304721,0,0,
losangeles021-2010.png,2047,3487,5534,476,0.172027467,520,557,0,0,0.183953741,-0.064833008,0.004203319,,0.172027467,0,0,
losangeles022-2010.png,2921,4660,7581,753,0.198654531,808,833,0,0,0.207888141,-0.044416242,0.001972803,,0.198918349,-0.000263817,6.95996E-08,
losangeles023-2010.png,2287,4216,6503,688,0.211594649,719,758,0,0,0.216207904,-0.021337126,0.000455273,,0.211902199,-0.00030755,9.45872E-08,
losangeles024-2010.png,3000,4667,7667,844,0.220164341,882,908,0,0,0.224859789,-0.020881672,0.000436044,,0.220164341,0,0,
losangeles025-2010.png,2780,4262,7042,154,0.043737575,185,232,0,0,0.051689861,-0.153846157,0.02366864,,0.043737575,0,0,
losangeles026-2010.png,3032,4477,7509,526,0.140098548,588,605,0,0,0.146224531,-0.041894356,0.001755137,,0.140098548,0,0,
losangeles027-2010.png,1900,3756,5656,557,0.196958982,606,616,0,0,0.205799151,-0.042955325,0.00184516,,0.196958982,0,0,
losangeles028-2010.png,1906,3437,5343,576,0.215609208,607,629,0,0,0.22084971,-0.023728814,0.000563057,,0.215609208,0,0,
losangeles029-2010.png,2505,3428,5933,677,0.228215068,734,764,0,0,0.241024777,-0.053146854,0.002824588,,0.228552166,-0.000337098,1.13635E-07,
losangeles030-2010.png,2826,4570,7396,696,0.188209843,750,786,0,0,0.193618172,-0.027932961,0.00078025,,0.188209843,0,0,
losangeles031-2010.png,2801,4265,7066,830,0.234927823,887,909,0,0,0.244551373,-0.039351853,0.001548568,,0.234927823,0,0,
losangeles032-2010.png,2842,4524,7366,781,0.21205539,838,861,0,0,0.21938637,-0.033415842,0.001116619,,0.212326907,-0.000271518,7.37219E-08,
losangeles033-2010.png,3208,4557,7765,221,0.056922086,266,297,0,0,0.063876368,-0.108870963,0.011852887,,0.056922086,0,0,
