Filename, N_kps1, N_kps2, N_kps_total, average_match_rate, proximity_in_pixels, fit_converged, n_forward, n_backward, n_not_first_match_forward, n_not_first_match_backward
losangeles059-2010.png, 1694, 4513, 6207, 0.256162397293, 4, -1, 851, 964, 116, 132
losangeles060-2010.png, 2038, 4842, 6880, 0.330813953488, 4, -1, 1238, 1313, 150, 152
losangeles061-2010.png, 2186, 4729, 6915, 0.347360809834, 4, -1, 1306, 1409, 116, 168
losangeles062-2010.png, 2327, 4639, 6966, 0.385874246339, 4, -1, 1467, 1486, 150, 146
losangeles063-2010.png, 1800, 4148, 5948, 0.356758574311, 4, -1, 1154, 1229, 124, 142
losangeles064-2010.png, 2102, 4384, 6486, 0.36231884058, 4, -1, 1285, 1344, 144, 144
merced001-2010.png, 3139, 5248, 8387, 0.338857756051, 4, -1, 1559, 1603, 238, 220
merced002-2010.png, 2814, 4640, 7454, 0.243359270191, 4, -1, 1010, 1117, 187, 230
merced003-2010.png, 840, 1557, 2397, 0.322069253233, 4, -1, 439, 480, 81, 88
merced004-2010.png, 1189, 1857, 3046, 0.365725541694, 4, -1, 644, 684, 114, 115
merced005-2010.png, 664, 1115, 1779, 0.267566048342, 4, -1, 269, 303, 37, 40
merced006-2010.png, 373, 741, 1114, 0.16157989228, 4, -1, 114, 131, 28, 25
merced007-2010.png, 381, 695, 1076, 0.124535315985, 4, -1, 86, 101, 28, 32
merced008-2010.png, 342, 307, 649, 0.169491525424, 4, -1, 71, 68, 22, 23
merced009-2010.png, 1935, 4787, 6722, 0.267479916691, 4, -1, 989, 1057, 144, 153
merced010-2010.png, 1661, 4436, 6097, 0.209283254059, 4, -1, 707, 799, 125, 141
merced011-2010.png, 871, 1275, 2146, 0.145386766076, 4, -1, 187, 213, 59, 52
merced012-2010.png, 986, 1650, 2636, 0.291350531108, 4, -1, 467, 496, 96, 105
merced013-2010.png, 777, 1033, 1810, 0.227624309392, 4, -1, 260, 282, 64, 76
merced014-2010.png, 997, 1557, 2554, 0.22239624119, 4, -1, 343, 383, 100, 104
merced015-2010.png, 377, 1515, 1892, 0.188160676533, 4, -1, 200, 254, 37, 53
merced016-2010.png, 556, 935, 1491, 0.366197183099, 4, -1, 319, 340, 47, 64
merced017-2010.png, 731, 2268, 2999, 0.141380460153, 4, -1, 241, 303, 62, 80
merced018-2010.png, 1141, 2128, 3269, 0.167023554604, 4, -1, 318, 366, 95, 106
merced019-2010.png, 708, 1098, 1806, 0.0531561461794, 4, -1, 63, 93, 32, 35
merced020-2010.png, 601, 685, 1286, 0.295489891135, 4, -1, 235, 232, 57, 60
merced021-2010.png, 849, 400, 1249, 0.104083266613, 4, -1, 113, 84, 53, 36
merced022-2010.png, 876, 508, 1384, 0.244219653179, 4, -1, 209, 203, 41, 45
merced023-2010.png, 691, 860, 1551, 0.268214055448, 4, -1, 261, 295, 79, 74
merced024-2010.png, 275, 692, 967, 0.175801447777, 4, -1, 110, 142, 32, 52
merced025-2010.png, 677, 1549, 2226, 0.145552560647, 4, -1, 204, 251, 62, 75
merced026-2010.png, 1237, 1570, 2807, 0.278589241183, 4, -1, 460, 493, 107, 120
merced027-2010.png, 1365, 1716, 3081, 0.12917883804, 4, -1, 265, 246, 89, 78
merced028-2010.png, 605, 367, 972, 0.152263374486, 4, -1, 107, 87, 38, 25
merced029-2010.png, 1354, 93, 1447, 0.0248790601244, 4, -1, 42, 21, 15, 6
merced030-2010.png, 1395, 93, 1488, 0.0309139784946, 4, -1, 56, 25, 17, 7
merced031-2010.png, 543, 385, 928, 0.344827586207, 4, -1, 200, 202, 29, 38
merced032-2010.png, 271, 187, 458, 0.131004366812, 4, -1, 43, 37, 9, 11
merced033-2010.png, 1325, 1711, 3036, 0.31884057971, 4, -1, 574, 589, 116, 110
merced034-2010.png, 1288, 1745, 3033, 0.150346191889, 4, -1, 285, 324, 87, 97
merced035-2010.png, 565, 400, 965, 0.176165803109, 4, -1, 122, 106, 34, 35
merced036-2010.png, 1473, 437, 1910, 0.206282722513, 4, -1, 282, 224, 58, 33
merced037-2010.png, 2501, 496, 2997, 0.154821488155, 4, -1, 320, 261, 49, 40
merced038-2010.png, 1461, 83, 1544, 0.0349740932642, 4, -1, 52, 31, 11, 8
merced039-2010.png, 618, 235, 853, 0.20164126612, 4, -1, 131, 97, 29, 20
merced040-2010.png, 706, 396, 1102, 0.127041742287, 4, -1, 92, 88, 31, 38
merced041-2010.png, 1200, 1569, 2769, 0.390032502709, 4, -1, 631, 634, 112, 123
merced042-2010.png, 1175, 878, 2053, 0.123721383341, 4, -1, 176, 157, 63, 55
merced043-2010.png, 1160, 126, 1286, 0.0933125972006, 4, -1, 96, 68, 20, 16
merced044-2010.png, 1606, 345, 1951, 0.0850845720144, 4, -1, 143, 100, 49, 38
merced045-2010.png, 3044, 386, 3430, 0.120699708455, 4, -1, 310, 227, 59, 45
merced046-2010.png, 1927, 183, 2110, 0.0748815165877, 4, -1, 128, 84, 21, 17
merced047-2010.png, 1019, 422, 1441, 0.316446911867, 4, -1, 286, 244, 44, 31
merced048-2010.png, 979, 1226, 2205, 0.141496598639, 4, -1, 190, 215, 59, 69
merced049-2010.png, 529, 1152, 1681, 0.281975014872, 4, -1, 282, 296, 65, 70
merced050-2010.png, 551, 171, 722, 0.160664819945, 4, -1, 89, 67, 26, 20
merced051-2010.png, 1269, 214, 1483, 0.0552933243425, 4, -1, 71, 51, 19, 9
merced052-2010.png, 2207, 290, 2497, 0.0544653584301, 4, -1, 119, 83, 35, 22
merced053-2010.png, 2051, 176, 2227, 0.038616973507, 4, -1, 82, 47, 23, 18
merced054-2010.png, 1768, 125, 1893, 0.0359218172213, 4, -1, 71, 43, 25, 16
merced055-2010.png, 600, 155, 755, 0.153642384106, 4, -1, 82, 64, 24, 16
merced056-2010.png, 717, 853, 1570, 0.0993630573248, 4, -1, 102, 123, 40, 52
merced057-2010.png, 600, 566, 1166, 0.140651801029, 4, -1, 109, 100, 29, 24
merced058-2010.png, 422, 84, 506, 0.0830039525692, 4, -1, 36, 29, 6, 6
merced059-2010.png, 883, 180, 1063, 0.0865475070555, 4, -1, 74, 54, 23, 19
merced060-2010.png, 1216, 218, 1434, 0.0292887029289, 4, -1, 49, 31, 28, 17
merced061-2010.png, 913, 388, 1301, 0.0906994619523, 4, -1, 94, 78, 36, 26
merced062-2010.png, 1272, 170, 1442, 0.0957004160888, 4, -1, 116, 79, 25, 22
merced063-2010.png, 1486, 218, 1704, 0.0762910798122, 4, -1, 98, 75, 27, 20
merced064-2010.png, 1155, 895, 2050, 0.173658536585, 4, -1, 237, 231, 95, 92
oakland001-2010.png, 2761, 3106, 5867, 0.261121527186, 4, -1, 879, 888, 189, 190
oakland002-2010.png, 3590, 4300, 7890, 0.194169835234, 4, -1, 873, 903, 181, 195
oakland003-2010.png, 3460, 4864, 8324, 0.421672272946, 4, -1, 1900, 1989, 206, 251
oakland004-2010.png, 3260, 5011, 8271, 0.430661346875, 4, -1, 1965, 2038, 211, 246
oakland005-2010.png, 2599, 3707, 6306, 0.370123691722, 4, -1, 1279, 1361, 168, 182
oakland006-2010.png, 1301, 1511, 2812, 0.22972972973, 4, -1, 374, 406, 81, 114
oakland007-2010.png, 1248, 2502, 3750, 0.370666666667, 4, -1, 787, 862, 116, 125
oakland008-2010.png, 1552, 2610, 4162, 0.557904853436, 4, -1, 1247, 1362, 93, 125
oakland009-2010.png, 2408, 2774, 5182, 0.230412967966, 4, -1, 708, 722, 195, 181
oakland010-2010.png, 3091, 4535, 7626, 0.37188565434, 4, -1, 1574, 1664, 214, 236
oakland011-2010.png, 2488, 4848, 7336, 0.297164667394, 4, -1, 1199, 1281, 173, 196
oakland012-2010.png, 2823, 4897, 7720, 0.275906735751, 4, -1, 1184, 1296, 225, 261
oakland013-2010.png, 1975, 1845, 3820, 0.121989528796, 4, -1, 278, 298, 68, 79
oakland014-2010.png, 1474, 1892, 3366, 0.337492572787, 4, -1, 644, 678, 104, 94
oakland015-2010.png, 2082, 3725, 5807, 0.447735491648, 4, -1, 1408, 1514, 139, 152
oakland016-2010.png, 1570, 2643, 4213, 0.478518870164, 4, -1, 1104, 1174, 88, 92
oakland017-2010.png, 2838, 3368, 6206, 0.236545278762, 4, -1, 849, 855, 193, 190
oakland018-2010.png, 2784, 4825, 7609, 0.354317255881, 4, -1, 1462, 1588, 177, 222
oakland019-2010.png, 2598, 4827, 7425, 0.333468013468, 4, -1, 1359, 1449, 197, 209
oakland020-2010.png, 2825, 4276, 7101, 0.207294747219, 4, -1, 814, 893, 193, 221
oakland021-2010.png, 2126, 3047, 5173, 0.338681616084, 4, -1, 990, 1050, 164, 191
oakland022-2010.png, 3430, 4845, 8275, 0.441329305136, 4, -1, 1983, 2084, 216, 236
oakland023-2010.png, 2786, 4532, 7318, 0.474993167532, 4, -1, 1892, 1998, 167, 190
oakland024-2010.png, 1531, 2754, 4285, 0.466277712952, 4, -1, 1092, 1162, 114, 140
oakland025-2010.png, 3377, 4296, 7673, 0.314870324515, 4, -1, 1369, 1446, 255, 273
oakland026-2010.png, 3570, 5074, 8644, 0.385238315595, 4, -1, 1829, 1867, 219, 212
oakland027-2010.png, 2359, 3418, 5777, 0.252380128094, 4, -1, 822, 907, 175, 194
oakland028-2010.png, 1889, 2822, 4711, 0.265760984929, 4, -1, 707, 771, 150, 150
oakland029-2010.png, 3004, 4369, 7373, 0.36701478367, 4, -1, 1499, 1564, 209, 218
oakland030-2010.png, 3120, 4352, 7472, 0.471359743041, 4, -1, 1940, 2009, 209, 251
oakland031-2010.png, 1328, 2739, 4067, 0.404229161544, 4, -1, 919, 981, 91, 119
oakland032-2010.png, 2926, 4793, 7719, 0.492032646716, 4, -1, 2054, 2146, 180, 211
oakland033-2010.png, 2953, 4769, 7722, 0.281533281533, 4, -1, 1226, 1293, 242, 235
oakland034-2010.png, 2399, 5176, 7575, 0.299669966997, 4, -1, 1234, 1320, 154, 181
oakland035-2010.png, 3120, 3598, 6718, 0.316165525454, 4, -1, 1219, 1251, 216, 216
oakland036-2010.png, 2624, 3812, 6436, 0.302983219391, 4, -1, 1089, 1165, 230, 226
oakland037-2010.png, 3078, 4962, 8040, 0.383084577114, 4, -1, 1705, 1802, 206, 254
oakland038-2010.png, 2036, 3732, 5768, 0.422676837725, 4, -1, 1341, 1450, 148, 161
oakland039-2010.png, 3112, 4868, 7980, 0.498245614035, 4, -1, 2130, 2277, 166, 217
oakland040-2010.png, 3026, 5197, 8223, 0.472820138636, 4, -1, 2066, 2182, 182, 225
oakland041-2010.png, 2623, 4720, 7343, 0.291978755277, 4, -1, 1178, 1278, 190, 216
oakland042-2010.png, 2242, 3661, 5903, 0.235134677283, 4, -1, 772, 876, 134, 159
oakland043-2010.png, 2775, 2958, 5733, 0.428048142334, 4, -1, 1343, 1398, 168, 179
oakland044-2010.png, 2789, 3620, 6409, 0.416913715088, 4, -1, 1503, 1548, 186, 208
oakland045-2010.png, 3397, 5065, 8462, 0.316237296147, 4, -1, 1482, 1544, 267, 260
oakland046-2010.png, 2852, 4392, 7244, 0.370513528437, 4, -1, 1463, 1580, 194, 227
oakland047-2010.png, 2598, 4121, 6719, 0.469712754874, 4, -1, 1684, 1817, 151, 182
